URL,created_at,source_name,text,href,is_rt,is_reply,is_link,ai_guess,groundtruth
https://twitter.com/elonmusk/status/1886818906972577951,2025-02-04 16:47:37,Elon Musk,"When @SenJoniErnst asked to review USAID financials, they threatened to sue her! 
Now, why would a US taxpayer funded organization do such a thing? Corruption. 
 https://t.co/g0tMm92R2N","<a href=""https://twitter.com/elonmusk/status/1886818906972577951""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,"other political issues, (like 'wokeness', birth rates and immigration)","other political issues, (like 'wokeness', birth rates and immigration)"
https://x.com/elonmusk/status/1699513468565475499,2023-09-06 0:00:00,Elon Musk,Exactly,"<a href=""https://x.com/elonmusk/status/1699513468565475499""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
https://twitter.com/elonmusk/status/1804532172344131961,2024-06-22 15:09:31,Elon Musk,Everyday Astronaut interview and Starship factory tour!,"<a href=""https://twitter.com/elonmusk/status/1804532172344131961""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,"Tesla, SpaceX, Twitter/X, Neuralink and The Boring Company","Tesla, SpaceX, Twitter/X, Neuralink and The Boring Company"
https://twitter.com/elonmusk/status/1746970616060580326,2024-01-15 19:00:26,Elon Musk,"Important note: Optimus cannot yet do this autonomously, but certainly will be able to do this fully autonomously and in an arbitrary environment (won’t require a fixed table with box that has only one shirt)","<a href=""https://twitter.com/elonmusk/status/1746970616060580326""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,"Tesla, SpaceX, Twitter/X, Neuralink and The Boring Company","Tesla, SpaceX, Twitter/X, Neuralink and The Boring Company"
https://twitter.com/elonmusk/status/1837715307445493904,2024-09-22 4:47:27,Elon Musk,TRUE,"<a href=""https://twitter.com/elonmusk/status/1837715307445493904""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
https://twitter.com/elonmusk/status/1649032884517482497,2023-04-20 12:50:51,Elon Musk,Starship on track to launch in ~37 mins,"<a href=""https://twitter.com/elonmusk/status/1649032884517482497""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,"Tesla, SpaceX, Twitter/X, Neuralink and The Boring Company","Tesla, SpaceX, Twitter/X, Neuralink and The Boring Company"
https://twitter.com/elonmusk/status/1831486742052159886,2024-09-05 0:17:21,Elon Musk,"I have never been materially active in politics before, but this time I think civilization as we know it is on the line. 

If we want to preserve freedom and a meritocracy in America, then Trump must win.","<a href=""https://twitter.com/elonmusk/status/1831486742052159886""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,US election,US election
https://twitter.com/elonmusk/status/1780666831310877100,2024-04-17 18:37:10,Elon Musk,"Bring back Vine?
https://twitter.com","<a href=""https://twitter.com/elonmusk/status/1780666831310877100""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
https://twitter.com/elonmusk/status/1633930453727035394,2023-03-09 20:39:11,Elon Musk,"Yeah, that’s really mind-blowing. Our sun will massively expand &amp; engulf Earth in the future, so it won’t be tiny forever.","<a href=""https://twitter.com/elonmusk/status/1633930453727035394""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
https://twitter.com/elonmusk/status/1634463615171321859,2023-03-11 7:57:47,Elon Musk,"Yeah, I agree he should get non-zero punishment, but four years in prison is too much for a non-violent crime","<a href=""https://twitter.com/elonmusk/status/1634463615171321859""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,"other political issues, (like 'wokeness', birth rates and immigration)","other political issues, (like 'wokeness', birth rates and immigration)"
https://twitter.com/elonmusk/status/1936510650412569012,2025-06-21 19:44:52,Elon Musk,"Am I the best troll in the world or the second best? ☺️
https://twitter.com","<a href=""https://twitter.com/elonmusk/status/1936510650412569012""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
https://x.com/elonmusk/status/1716525258956542321,2023-10-23 0:00:00,Elon Musk,"This book is an excellent explanation of why capitalism is not just successful, but morally right, especially chapter 4 https://t.co/SZuiGRu5Va","<a href=""https://x.com/elonmusk/status/1716525258956542321""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,US election
https://twitter.com/elonmusk/status/1815930558708363717,2024-07-24 2:02:38,Elon Musk,Shouldn’t the nominee be decided by a party vote? Democracy etc … https://t.co/EH0aYvSG1m,"<a href=""https://twitter.com/elonmusk/status/1815930558708363717""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,US election,US election
https://twitter.com/elonmusk/status/1626077627844009985,2023-02-16 4:34:52,Elon Musk,Yes,"<a href=""https://twitter.com/elonmusk/status/1626077627844009985""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
https://twitter.com/elonmusk/status/1825738817275383950,2024-08-20 3:37:09,Elon Musk,The Moon looks amazing,"<a href=""https://twitter.com/elonmusk/status/1825738817275383950""target=""_blank"">Twitter</a>",FALSE,FALSE,FALSE,Other,Other
